Descripción (100c),Categoria,Actividad,Precio USD (desde),Precio MXN (aprox),Link GYG (afiliado),Imagen principal,Imagen_2,Imagen_3,Imagen_4,Descripción larga (~500c)
Tour guiado por la Zona Arqueológica de Tulum con guías locales certificados.,Ruins & Archaeology,Tulum: Zona Arqueológica – tour guiado a pie,32,599,https://www.getyourguide.com/tulum-l248/tulum-ruins-archaeological-zone-guided-walking-tour-t814206/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png","Explora la antigua ciudad amurallada frente al Caribe con un guía certificado. Conoce el Templo del Dios Descendente, el Castillo y los murales. Ideal para quienes buscan historia sin perder la vista al mar. Ritmo tranquilo, información clara y consejos para optimizar tu visita en temporada alta."
Salida en lancha para snorkelear en dos puntos del arrecife dentro del Parque Nacional.,Snorkel & Reef,Tulum: Snorkel en 2 puntos del Arrecife (2h),47,869.5,https://www.getyourguide.com/tulum-l248/tulum-2-hour-snorkeling-in-two-spots-of-tulum-s-reef-t600898/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/aa758e83a2517233e4245e1ebfb3ca8dd322afb4ec4a74500ba8ef797664a8f5.jpg","https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=450,height=450,dpr=2/tour_img/f1884e01395af4bb3eed417ee0578f69378ce69a2ae2011fe2218bea99694d29.jpeg","Navega desde la zona arqueológica hacia el arrecife de Tulum y sumérgete en aguas claras. Observa tortugas, rayas y cardúmenes de peces tropicales. Equipo incluido, guías expertos y logística fluida. Experiencia corta e intensa que cabe perfecto en tu itinerario de playa."
"Experiencia premium en catamarán con barra libre, snorkel y paddle.",Catamaran,Tulum: Velero de lujo medio día con barra libre,149,2756.5,https://www.getyourguide.com/tulum-l248/half-day-luxury-sailing-experience-in-tulum-with-open-bar-t486480/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg","Sube a un catamarán de lujo para navegar la costa y relajarte con barra libre. Incluye paradas para snorkel y paddle board, tripulación atenta y alimentos ligeros. Opción ideal para parejas o grupos que quieran fotos espectaculares y servicio tipo resort."
Visita guiada a 4 cenotes en Casa Tortuga: 2 semiabiertos y 2 abiertos.,Cenotes & Lagoons,Tulum: Tour guiado Cenotes Casa Tortuga (entrada básica),11,203.5,https://www.getyourguide.com/tulum-l248/cenotes-casa-tortuga-guided-tour-with-basic-entry-ticket-t697964/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","Descubre cuatro cenotes con guía certificado: cavernas, fósiles, puentes de madera y aguas cristalinas. Tiempo libre al final para seguir nadando. Excelente relación valor-precio y muy popular para familias y grupos; se recomienda traer efectivo para extras."
Reserva de Sian Ka'an: paseo en lancha y flotado por canales mayas.,Nature Reserve,Sian Ka'an: Reserva y canales mayas (Muyil),160,2960,https://www.getyourguide.com/tulum-l248/riviera-maya-sian-ka-an-reserve-ancient-maya-canals-tour-t671649/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/95b79a985cd5308e65c9e812033d12d973469cc5c943d69bcea208a5e0f50430.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/82feefd34c0fe30d3a74eaf93da0dbafffba35025d730a7acb6a91f2af0f1a75.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/de60f53dc495c70fa86b36ba8bbb4a4153f876c0cab01516038b0650ea1afdcf.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/de60f53dc495c70fa86b36ba8bbb4a4153f876c0cab01516038b0650ea1afdcf.jpg","Explora el Sitio Patrimonio Mundial Sian Ka'an. Cruza lagunas, observa fauna (manatíes, cocodrilos, aves) y flota por un canal milenario. Operado por cooperativa maya con enfoque sostenible. Incluye comida tradicional y guía naturalista."
Excursión a Cobá con subida a estructuras y nado en cenote cercano.,Ruins & Archaeology,Coba: Ruinas + Cenote (desde Tulum),175,3237.5,https://www.getyourguide.com/tulum-l248/from-tulum-coba-ruins-and-cenote-swim-tour-t529582/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png","Traslado cómodo hacia Cobá para explorar la antigua red de sacbés, pirámides y estelas. Complementa con baño en cenote de aguas turquesa. Ideal para quienes buscan un combo arqueología + naturaleza en un solo día."
Combo de naturaleza: laguna Kaan Luum y 3 cenotes icónicos.,Cenotes & Lagoons,Tulum: Laguna Kaan Luum + 3 Cenotes,137,2534.5,https://www.getyourguide.com/tulum-l248/tulum-kaan-luum-lagoon-3-cenotes-adventure-t751044/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","Conoce la famosa laguna de tonos verdes con ojo profundo y tres cenotes cercanos (Zacil-Ha, Zemway, Mutul-Ha). Incluye transporte desde Tulum, box lunch y guía. Día completo ideal para fotos y relax acuático."
Salida privada frente a las ruinas con snorkel guiado y tripulación.,Snorkel & Sailing,Tulum: Snorkel Privado y Navegación,74,1369,https://www.getyourguide.com/tulum-l248/tulum-private-snorkel-and-sailing-experience-t402935/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg","Experiencia privada para navegar frente a Tulum, fondear en arrecife y snorkelear con guía. Perfecto para parejas o grupos pequeños que buscan comodidad, flexibilidad y servicio personalizado."
"Aventura en la selva: ATV, rappel, tirolesas y cenote.",Adventure (ATV/Zipline),Tulum: ATV + Cenote + Tirolesas + Rappel,89,1646.5,https://www.getyourguide.com/cancun-l150/tulum-atv-cenote-and-rappelling-jungle-experience-t354206/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg","Circuito de adrenalina y naturaleza: manejo de ATV por selva, rappel y tirolesas, además de nado en cenote tipo caverna. Guías expertos, equipo de seguridad y snack típico. Ideal para grupos de amigos."
Sistema de cuevas con tonos azules; ideal para fotos y snorkel.,Cenotes & Lagoons,Cenote Dos Ojos: entrada / tour,108,1998,https://www.getyourguide.com/tulum-l248/tulum-dos-ojos-cenote-2-scuba-dives-with-transfer-option-t828977/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Sistema de cuevas con tonos azules; ideal para fotos y snorkel. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Mirador y muelle hacia aguas poco profundas y ojo central.,Cenotes & Lagoons,Laguna Kaan Luum: entrada,137,2534.5,https://www.getyourguide.com/tulum-l248/tulum-kaan-luum-lagoon-3-cenotes-adventure-t751044/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Mirador y muelle hacia aguas poco profundas y ojo central. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
"Estuario con peces tropicales, ideal para principiantes.",Snorkel & Reef,Yal-Kú: snorkel laguna,81,1498.5,https://www.getyourguide.com/akumal-l2807/from-tulum-yal-ku-lagoon-and-turtle-observation-tour-t832301/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/aa758e83a2517233e4245e1ebfb3ca8dd322afb4ec4a74500ba8ef797664a8f5.jpg","https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=450,height=450,dpr=2/tour_img/f1884e01395af4bb3eed417ee0578f69378ce69a2ae2011fe2218bea99694d29.jpeg","Estuario con peces tropicales, ideal para principiantes. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Paseo escénico con bar abierto y parada de snorkel.,Catamaran,Catamarán Premium Riviera Maya,149,2756.5,https://www.getyourguide.com/tulum-l248/tulum-half-day-luxury-sailing-experience-open-bar-t486480/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg",Paseo escénico con bar abierto y parada de snorkel. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Sistema de ríos cristalinos con guía espeleólogo.,Cenotes & Lagoons,Rio Secreto: cuevas y río subterráneo,89,1646.5,https://www.getyourguide.com/playa-del-carmen-l308/admission-only-to-rio-secreto-t37315/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Sistema de ríos cristalinos con guía espeleólogo. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Parque eco-arqueológico con ríos subterráneos y shows.,Parks,Xcaret Park: entrada,165,3052.5,https://www.getyourguide.com/cancun-l150/from-cancun-complete-combo-to-xcaret-park-t980056/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Parque eco-arqueológico con ríos subterráneos y shows. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Parque acuático natural con snorkel ilimitado y comida.,Parks,Xel-Há: entrada todo incluido,143,2645.5,https://www.getyourguide.com/cancun-l150/from-cancun-xel-ha-all-inclusive-park-t975755/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Parque acuático natural con snorkel ilimitado y comida. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
"Tirolesas, ríos subterráneos y vehículos anfibios nocturnos.",Parks,Xplor / Xplor Fuego,187,3459.5,https://www.getyourguide.com/playa-del-carmen-l308/from-playa-del-carmen-xplor-park-admission-full-day-t978306/?partner_id=EBGURF8&cmp=tulumtkts&lc=l45,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png","Tirolesas, ríos subterráneos y vehículos anfibios nocturnos. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Recorre sacbés en bici o bicitaxi; arqueología en selva.,Ruins & Archaeology,Coba: ruinas + bicicleta,175,3237.5,https://www.getyourguide.com/tulum-l248/from-tulum-coba-ruins-and-cenote-swim-tour-t529582/?partner_id=EBGURF8&cmp=tulumtkts&lc=l45,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Recorre sacbés en bici o bicitaxi; arqueología en selva. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Acrópolis monumental y nado en cenote cercano.,Ruins & Archaeology,Ek Balam + cenote Xcanché,140,2590,https://www.getyourguide.com/chichen-itza-l785/chichen-itza-and-ek-balam-ruins-cenote-with-lunch-tour-t599923/?partner_id=EBGURF8&cmp=tulumtkts&lc=l45,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Acrópolis monumental y nado en cenote cercano. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
