Descripción (100c),Categoria,Actividad,Precio USD (desde),Precio MXN (aprox),Link GYG (afiliado),Imagen principal,Imagen_2,Imagen_3,Imagen_4,Descripción larga (~500c)
"City tour en bici por playas, arte y spots foodie.",City & Food,Tulum Bike Tour,95,1757.5,https://www.getyourguide.com/tulum-l248/tulum-guided-bike-tour-ruins-tacos-and-cenote-t150560/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png","City tour en bici por playas, arte y spots foodie. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Ruta de tacos y mezcales con guía local.,City & Food,Street Food & Mezcal,35,647.5,https://www.getyourguide.com/tulum-l248/tulum-taco-tour-t628200/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Ruta de tacos y mezcales con guía local. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Aprende recetas locales en taller práctico.,City & Food,Clase de cocina mexicana,84,1554,https://www.getyourguide.com/tulum-l248/tulum-mexican-cooking-class-in-local-home-t1004837/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Aprende recetas locales en taller práctico. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Ritual de cacao y meditación en la selva.,Wellness & Culture,Ceremonia de cacao,59,1091.5,https://www.getyourguide.com/quintana-roo-l963/tulum-chocolate-honey-sanctuary-experience-with-lunch-t429697/?partner_id=EBGURF8&cmp=tulumtkts&lc=l96145,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Ritual de cacao y meditación en la selva. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Photoshoot en spots icónicos de Tulum.,City & Food,Sesión de fotos pro,291,5383.5,https://www.getyourguide.com/tulum-l248/tulum-instagram-tour-the-most-famous-spots-w-photo-pro-t995109/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Photoshoot en spots icónicos de Tulum. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
"Boca Paila, delfines y aves en libertad.",Nature Reserve,Sian Ka'an: safari marino,229,4236.5,https://www.getyourguide.com/tulum-l248/sian-kaan-boat-trip-and-snorkel-adventure-t13848/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/95b79a985cd5308e65c9e812033d12d973469cc5c943d69bcea208a5e0f50430.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/82feefd34c0fe30d3a74eaf93da0dbafffba35025d730a7acb6a91f2af0f1a75.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/de60f53dc495c70fa86b36ba8bbb4a4153f876c0cab01516038b0650ea1afdcf.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/de60f53dc495c70fa86b36ba8bbb4a4153f876c0cab01516038b0650ea1afdcf.jpg","Boca Paila, delfines y aves en libertad. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Laguna y Canal de los Piratas en lancha.,Day Trips,Bacalar: 7 colores,145,2682.5,https://www.getyourguide.com/en-gb/bacalar-l95624/tulum-bacalar-lagoon-experience-boat-ride-and-cenote-azul-t825011/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Laguna y Canal de los Piratas en lancha. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Ruta off-road y nado en cenote privado.,Adventure (ATV/Zipline),ATV + Cenote (half day),105,1942.5,https://www.getyourguide.com/en-gb/playa-del-carmen-l308/jungle-buggy-tour-in-playa-del-carmen-with-cenote-swim-t86453/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=535,height=400,dpr=2/tour_img/58cdafd8e191e.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg",Ruta off-road y nado en cenote privado. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Manejo de buggy y cenote en la selva.,Adventure (ATV/Zipline),Jungle Buggy,124,2294,https://www.getyourguide.com/playa-del-carmen-l308/playa-del-carmen-jungle-buggy-tour-t688979/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg",Manejo de buggy y cenote en la selva. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Paseo a caballo entre senderos naturales.,Adventure (ATV/Zipline),Cabalgata en selva,129,2386.5,https://www.getyourguide.com/playa-del-carmen-l308/riviera-maya-horseback-riding-at-rancho-bonanza-t408848/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg",Paseo a caballo entre senderos naturales. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Circuito de tirolesas y puente colgante.,Adventure (ATV/Zipline),Zipline Adventure,165,3052.5,https://www.getyourguide.com/tulum-l248/tulum-rappel-jungle-zip-line-cenote-snorkeling-tour-t683592/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg",Circuito de tirolesas y puente colgante. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Remo en lagunas tranquilas con guía.,Nature Reserve,Kayak en Sian Ka'an,160,2960,https://www.getyourguide.com/en-gb/tulum-l248/tulum-sian-ka-an-biosphere-reserve-ancient-maya-canals-tour-t671649/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/95b79a985cd5308e65c9e812033d12d973469cc5c943d69bcea208a5e0f50430.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/82feefd34c0fe30d3a74eaf93da0dbafffba35025d730a7acb6a91f2af0f1a75.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/de60f53dc495c70fa86b36ba8bbb4a4153f876c0cab01516038b0650ea1afdcf.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/de60f53dc495c70fa86b36ba8bbb4a4153f876c0cab01516038b0650ea1afdcf.jpg",Remo en lagunas tranquilas con guía. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
SUP al amanecer en aguas planas.,Water,Paddle board amanecer,33,610.5,https://www.getyourguide.com/bacalar-l95624/bacalar-sunrise-stand-up-paddleboard-a-unique-experience-t249302/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/aa758e83a2517233e4245e1ebfb3ca8dd322afb4ec4a74500ba8ef797664a8f5.jpg","https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=450,height=450,dpr=2/tour_img/f1884e01395af4bb3eed417ee0578f69378ce69a2ae2011fe2218bea99694d29.jpeg",SUP al amanecer en aguas planas. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Salida en panga para pesca de altura.,Water,Pesca deportiva,361,6678.5,https://www.getyourguide.com/tulum-l248/tulum-deep-sea-fishing-t686530/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/aa758e83a2517233e4245e1ebfb3ca8dd322afb4ec4a74500ba8ef797664a8f5.jpg","https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=450,height=450,dpr=2/tour_img/f1884e01395af4bb3eed417ee0578f69378ce69a2ae2011fe2218bea99694d29.jpeg",Salida en panga para pesca de altura. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Parte del sistema subterráneo más grande.,Cenotes & Lagoons,Cenote Sac Actún,188,3478,https://www.getyourguide.com/tulum-l248/tulum-private-tour-2-cenotes-sac-actun-longest-underground-river-in-the-world-t849903/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Parte del sistema subterráneo más grande. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Noche de bares con anfitrión y shots incluidos.,City & Food,Tulum Pub Crawl,30,555,https://www.getyourguide.com/tulum-l248/tulum-social-pub-crawl-meet-fellow-travelers-win-prices-t906942/?partner_id=EBGURF8&cmp=tulumtkts&lc=l169009,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Noche de bares con anfitrión y shots incluidos. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Traslado privado/categoría compartido.,Transfers,Transporte Aeropuerto → Tulum,144,2664,https://www.getyourguide.com/en-gb/cancun-l150/cancun-airport-private-transfers-to-tulum-70-miles-t745412/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Traslado privado/categoría compartido. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Pick-up en hotel y llegada a tiempo.,Transfers,Transporte Tulum → Aeropuerto,81,1498.5,https://www.getyourguide.com/tulum-l248/tulum-airport-one-way-or-roundtrip-private-transfer-t859648/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Pick-up en hotel y llegada a tiempo. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
"Ruta por letras gigantes, miradores y arte.",City & Food,Tulum Instagram Spots,291,5383.5,https://www.getyourguide.com/tulum-l248/tulum-instagram-tour-the-most-famous-spots-w-photo-pro-t995109/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png","Ruta por letras gigantes, miradores y arte. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Fotos y video pro bajo el agua.,Cenotes & Lagoons,Fotografía submarina en cenote,151,2793.5,https://www.getyourguide.com/tulum-l248/from-tulum-3-cenotes-adventure-gopro-pictures-and-food-t801164/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Fotos y video pro bajo el agua. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Buceo en caverna con instructor.,Cenotes & Lagoons,Buceo cenote principiantes,251,4643.5,https://www.getyourguide.com/tulum-l248/tulum-try-scuba-diving-in-cenote-for-beginners-t529265/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Buceo en caverna con instructor. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.